В Древнем Риме альбомом называли доску, покрытую белым гипсом.;Да
На луну воют только волки-одиночки.;Нет
Бамбук самая высокая трава в мире.;Да
Авторучка была изобретена ещё в Древнем Египте?;Да
Совы не могут вращать глазами?;Да
Дети могут слышать более высокие звуки, чем взрослые?;Да
Лось является разновидностью оленя?;Да
Мойву эскимосы сушат и едят вместо хлеба?;Да
Радугу можно увидеть и в полночь?;Да
Утром вы выше ростом, чем вечером?;Да
Солнце составляет 99,8 процентов массы Солнечной системы.;Да
Мы обнаружили больше тысячи планет за пределами Солнечной системы за последние 20 лет.;Да
Все планеты Солнечной системы могли бы уместиться между Землей и Луной.;Да
На северном полюсе Сатурна есть шестиугольное облако.;Да
Навозные жуки ориентируются по Млечному пути.;Да
Чау-чау единственная собака с не розовым языком.;Да
Омары имеют синий оттенок крови.;Да
Барсуки передают свои норы в наследство потомкам.;Да
Щупальца гигантской арктической медузы могут достигать 36 метров.;Да
За ночь крот может вырыть стометровый тоннель.;Да
Человек чувствует 4 вкуса;Нет
